TIPO	LEXEMA	LINEA	COLUMNA
ID	i	62	9
ASIGN	=	62	11
NUMERO	0	62	13
PYC	;	62	14
ID	i	62	16
MENOR	<	62	18
NUMERO	10	62	20
PYC	;	62	22
ID	i	62	24
ASIGN	=	62	26
ID	i	62	28
SUMA	+	62	30
NUMERO	1	62	32
PC	)	62	33
LLA	{	62	35
IF	if	63	8
PA	(	63	11
ID	i	63	12
MOD	%	63	14
NUMERO	2	63	16
UEQ	!=	63	18
NUMERO	0	63	21
PC	)	63	22
LLA	{	63	24
CONTINUE	continue	64	12
PYC	;	64	20
LLC	}	65	8
IF	if	66	8
PA	(	66	11
ID	i	66	12
MAYOR	>	66	14
NUMERO	6	66	16
PC	)	66	17
LLA	{	66	19
BREAK	break	67	12
PYC	;	67	17
LLC	}	68	8
ID	suma_pares	69	8
ASIGN	=	69	19
ID	suma_pares	69	21
SUMA	+	69	32
ID	i	69	34
PYC	;	69	35
LLC	}	70	4
ID	c2	72	4
ASIGN	=	72	7
ID	siguiente_char	72	9
PA	(	72	23
ID	c1	72	24
PC	)	72	26
PYC	;	72	27
CHAR	char	73	4
ID	c3	73	9
ASIGN	=	73	12
CHAR_CONST	'z'	73	14
PYC	;	73	17
CHAR	char	74	4
ID	c4	74	9
ASIGN	=	74	12
ID	siguiente_char	74	14
PA	(	74	28
ID	c3	74	29
PC	)	74	31
PYC	;	74	32
RETURN	return	76	4
NUMERO	0	76	11
PYC	;	76	12
LLC	}	77	0
INT	int	79	0
ID	sumar	79	4
PA	(	79	9
INT	int	79	10
ID	a	79	14
COMA	,	79	15
INT	int	79	17
ID	b	79	21
PC	)	79	22
LLA	{	79	24
INT	int	80	4
ID	r	80	8
ASIGN	=	80	10
ID	a	80	12
SUMA	+	80	14
ID	b	80	16
PYC	;	80	17
RETURN	return	81	4
ID	r	81	11
PYC	;	81	12
LLC	}	82	0
INT	int	84	0
ID	max_int	84	4
PA	(	84	11
INT	int	84	12
ID	a	84	16
COMA	,	84	17
INT	int	84	19
ID	b	84	23
PC	)	84	24
LLA	{	84	26
IF	if	85	4
PA	(	85	7
ID	a	85	8
MAYOR	>	85	10
ID	b	85	12
PC	)	85	13
LLA	{	85	15
RETURN	return	86	8
ID	a	86	15
PYC	;	86	16
LLC	}	87	4
ELSE	else	87	6
LLA	{	87	11
RETURN	return	88	8
ID	b	88	15
PYC	;	88	16
LLC	}	89	4
LLC	}	90	0
DOUBLE	double	92	0
ID	promedio3	92	7
PA	(	92	16
INT	int	92	17
ID	a	92	21
COMA	,	92	22
INT	int	92	24
ID	b	92	28
COMA	,	92	29
INT	int	92	31
ID	c	92	35
PC	)	92	36
LLA	{	92	38
INT	int	93	4
ID	suma	93	8
ASIGN	=	93	13
ID	a	93	15
SUMA	+	93	17
ID	b	93	19
SUMA	+	93	21
ID	c	93	23
PYC	;	93	24
DOUBLE	double	94	4
ID	prom	94	11
ASIGN	=	94	16
ID	suma	94	18
DIV	/	94	23
NUMERO	3	94	25
PYC	;	94	26
RETURN	return	95	4
ID	prom	95	11
PYC	;	95	15
LLC	}	96	0
VOID	void	98	0
ID	contar_hasta	98	5
PA	(	98	17
INT	int	98	18
ID	n	98	22
PC	)	98	23
LLA	{	98	25
INT	int	99	4
ID	i	99	8
ASIGN	=	99	10
NUMERO	0	99	12
PYC	;	99	13
WHILE	while	100	4
PA	(	100	10
ID	i	100	11
MENOR	<	100	13
ID	n	100	15
PC	)	100	16
LLA	{	100	18
ID	i	101	8
ASIGN	=	101	10
ID	i	101	12
SUMA	+	101	14
NUMERO	1	101	16
PYC	;	101	17
LLC	}	102	4
LLC	}	103	0
INT	int	105	0
ID	factorial	105	4
PA	(	105	13
INT	int	105	14
ID	n	105	18
PC	)	105	19
LLA	{	105	21
INT	int	106	4
ID	res	106	8
ASIGN	=	106	12
NUMERO	1	106	14
PYC	;	106	15
INT	int	107	4
ID	i	107	8
PYC	;	107	9
FOR	for	108	4
PA	(	108	8
ID	i	108	9
ASIGN	=	108	11
NUMERO	1	108	13
PYC	;	108	14
ID	i	108	16
MENORIGUAL	<=	108	18
ID	n	108	21
PYC	;	108	22
ID	i	108	24
ASIGN	=	108	26
ID	i	108	28
SUMA	+	108	30
NUMERO	1	108	32
PC	)	108	33
LLA	{	108	35
ID	res	109	8
ASIGN	=	109	12
ID	res	109	14
MULT	*	109	18
ID	i	109	20
PYC	;	109	21
LLC	}	110	4
RETURN	return	111	4
ID	res	111	11
PYC	;	111	14
LLC	}	112	0
INT	int	114	0
ID	prueba_break_continue	114	4
PA	(	114	25
INT	int	114	26
ID	limite	114	30
PC	)	114	36
LLA	{	114	38
INT	int	115	4
ID	i	115	8
ASIGN	=	115	10
NUMERO	0	115	12
PYC	;	115	13
INT	int	116	4
ID	suma	116	8
ASIGN	=	116	13
NUMERO	0	116	15
PYC	;	116	16
WHILE	while	118	4
PA	(	118	10
ID	i	118	11
MENOR	<	118	13
ID	limite	118	15
PC	)	118	21
LLA	{	118	23
ID	i	119	8
ASIGN	=	119	10
ID	i	119	12
SUMA	+	119	14
NUMERO	1	119	16
PYC	;	119	17
IF	if	121	8
PA	(	121	11
ID	i	121	12
EQ	==	121	14
NUMERO	3	121	17
PC	)	121	18
LLA	{	121	20
CONTINUE	continue	122	12
PYC	;	122	20
LLC	}	123	8
IF	if	125	8
PA	(	125	11
ID	i	125	12
EQ	==	125	14
NUMERO	7	125	17
PC	)	125	18
LLA	{	125	20
BREAK	break	126	12
PYC	;	126	17
LLC	}	127	8
ID	suma	129	8
ASIGN	=	129	13
ID	suma	129	15
SUMA	+	129	20
ID	i	129	22
PYC	;	129	23
LLC	}	130	4
RETURN	return	132	4
ID	suma	132	11
PYC	;	132	15
LLC	}	133	0
CHAR	char	135	0
ID	siguiente_char	135	5
PA	(	135	19
CHAR	char	135	20
ID	c	135	25
PC	)	135	26
LLA	{	135	28
CHAR	char	136	4
ID	r	136	9
ASIGN	=	136	11
ID	c	136	13
SUMA	+	136	15
NUMERO	1	136	17
PYC	;	136	18
RETURN	return	137	4
ID	r	137	11
PYC	;	137	12
LLC	}	138	0
EOF	<EOF>	139	0
